(0.0,-0.5),blue
(0.353555,-0.353555),red
(0.5,0.0),green
(0.353555,0.353555),orange
(0.0,0.5),black
(-0.353555,0.353555),purple
(-0.5,0.0),cyan
(-0.353555,-0.353555),magenta
(0.8535550000000001,-0.8535550000000001),blue
(1.2071100000000001,0.0),red
(0.8535550000000001,0.8535550000000001),green
(0.0,1.2071100000000001),orange
(-0.8535550000000001,0.8535550000000001),black
(-1.2071100000000001,0.0),purple
(-0.8535550000000001,-0.8535550000000001),cyan
(0.0,-1.2071100000000001),magenta
(-0.25,-0.25),blue
(0.0,-0.353555),red
(0.25,-0.25),green
(0.353555,0.0),orange
(0.25,0.25),black
(0.0,0.353555),purple
(-0.25,0.25),cyan
(-0.353555,0.0),magenta
(0.5,-0.8535550000000001),blue
(0.95711,-0.25),red
(0.8535550000000001,0.5),green
(0.25,0.95711),orange
(-0.5,0.8535550000000001),black
(-0.95711,0.25),purple
(-0.8535550000000001,-0.5),cyan
(-0.25,-0.95711),magenta
(0.41161125,-0.41161125),blue
(0.58211,0.0),red
(0.41161125,0.41161125),green
(0.0,0.58211),orange
(-0.41161125,0.41161125),black
(-0.58211,0.0),purple
(-0.41161125,-0.41161125),cyan
(0.0,-0.58211),magenta
(-0.08838875,-0.41161125),blue
(0.228555,-0.353555),red
(0.41161125,-0.08838875),green
(0.353555,0.228555),orange
(0.08838875,0.41161125),black
(-0.228555,0.353555),purple
(-0.41161125,0.08838875),cyan
(-0.353555,-0.228555),magenta
(0.19822249999999997,-0.5),blue
(0.49372125,-0.21338875000000002),red
(0.5,0.19822249999999997),green
(0.21338875000000002,0.49372125),orange
(-0.19822249999999997,0.5),black
(-0.49372125,0.21338875000000002),purple
(-0.5,-0.19822249999999997),cyan
(-0.21338875000000002,-0.49372125),magenta
(-0.30177750000000003,-0.5),blue
(0.14016625,-0.56694375),red
(0.5,-0.30177750000000003),green
(0.56694375,0.14016625),orange
(0.30177750000000003,0.5),black
(-0.14016625,0.56694375),purple
(-0.5,0.30177750000000003),cyan
(-0.56694375,-0.14016625),magenta
(0.64016625,-1.06694375),blue
(1.2071100000000001,-0.30177750000000003),red
(1.06694375,0.64016625),green
(0.30177750000000003,1.2071100000000001),orange
(-0.64016625,1.06694375),black
(-1.2071100000000001,0.30177750000000003),purple
(-1.06694375,-0.64016625),cyan
(-0.30177750000000003,-1.2071100000000001),magenta
(-0.5517775,-0.25),blue
(-0.21338875000000002,-0.56694375),red
(0.25,-0.5517775),green
(0.56694375,-0.21338875000000002),orange
(0.5517775,0.25),black
(0.21338875000000002,0.56694375),purple
(-0.25,0.5517775),cyan
(-0.56694375,0.21338875000000002),magenta
(0.28661125,-1.06694375),blue
(0.95711,-0.5517775),red
(1.06694375,0.28661125),green
(0.5517775,0.95711),orange
(-0.28661125,1.06694375),black
(-0.95711,0.5517775),purple
(-1.06694375,-0.28661125),cyan
(-0.5517775,-0.95711),magenta
(-0.21338875000000002,-1.06694375),blue
(0.6035550000000001,-0.9053325000000001),red
(1.06694375,-0.21338875000000002),green
(0.9053325000000001,0.6035550000000001),orange
(0.21338875000000002,1.06694375),black
(-0.6035550000000001,0.9053325000000001),purple
(-1.06694375,0.21338875000000002),cyan
(-0.9053325000000001,-0.6035550000000001),magenta
(1.103555,-1.4053325),blue
(1.7740537500000002,-0.21338875000000002),red
(1.4053325,1.103555),green
(0.21338875000000002,1.7740537500000002),orange
(-1.103555,1.4053325),black
(-1.7740537500000002,0.21338875000000002),purple
(-1.4053325,-1.103555),cyan
(-0.21338875000000002,-1.7740537500000002),magenta
(-0.5517775,0.0),blue
(-0.39016625000000005,-0.39016625000000005),red
(0.0,-0.5517775),green
