(0.0,-0.5),blue
(0.293895,-0.40451),red
(0.47553,-0.15451),green
(0.47553,0.15451),orange
(0.293895,0.40451),black
(0.0,0.5),purple
(-0.293895,0.40451),cyan
(-0.47553,0.15451),magenta
(-0.47553,-0.15451),yellow
(-0.293895,-0.40451),brown
(0.71664,-1.142275),blue
(1.25119,-0.50289),red
(1.3078250000000002,0.3285825),green
(0.864915,1.03455),orange
(0.09164000000000003,1.3453525),black
(-0.71664,1.142275),purple
(-1.25119,0.50289),cyan
(-1.3078250000000002,-0.3285825),magenta
(-0.864915,-1.03455),yellow
(-0.09164000000000003,-1.3453525),brown
(-0.45225499999999996,-0.3969475),blue
(-0.13256249999999997,-0.5869675),red
(0.237765,-0.5527850000000001),green
(0.517275,-0.3074575),orange
(0.5992025,0.05530749999999998),black
(0.45225499999999996,0.3969475),purple
(0.13256249999999997,0.5869675),cyan
(-0.237765,0.5527850000000001),magenta
(-0.517275,0.3074575),yellow
(-0.5992025,-0.05530749999999998),brown
(0.36743750000000003,-1.0869675),blue
(0.9361699999999998,-0.6634),red
(1.147315,0.013562499999999977),green
(0.9202224999999999,0.6853475),orange
(0.34164000000000005,1.0953525),black
(-0.36743750000000003,1.0869675),purple
(-0.9361699999999998,0.6634),cyan
(-1.147315,-0.013562499999999977),magenta
(-0.9202224999999999,-0.6853475),yellow
(-0.34164000000000005,-1.0953525),brown
(-0.13256249999999997,-1.0869675),blue
(0.53166,-0.957295),red
(0.992805,-0.4619675),green
(1.0747325,0.2098175),orange
(0.74615,0.8014574999999999),black
(0.13256249999999997,1.0869675),purple
(-0.53166,0.957295),cyan
(-0.992805,0.4619675),magenta
(-1.0747325,-0.2098175),yellow
(-0.74615,-0.8014574999999999),brown
(1.03166,-1.457295),blue
(1.69121,-0.5725825),red
(1.7047725000000002,0.5308375),green
(1.06717,1.4314975),orange
(0.021947500000000023,1.7853724999999998),black
(-1.03166,1.457295),purple
(-1.69121,0.5725825),cyan
(-1.7047725000000002,-0.5308375),magenta
(-1.06717,-1.4314975),yellow
(-0.021947500000000023,-1.7853724999999998),brown
(-0.125,0.125),blue
(-0.17460124999999999,0.02765374999999999),red
(-0.15751,-0.08025499999999999),green
(-0.08025499999999999,-0.15751),orange
(0.02765374999999999,-0.17460124999999999),black
(0.125,-0.125),purple
(0.17460124999999999,-0.02765374999999999),cyan
(0.15751,0.08025499999999999),magenta
(0.08025499999999999,0.15751),yellow
(-0.02765374999999999,0.17460124999999999),brown
(0.32539875,-0.47234625),blue
(0.5408949999999999,-0.19086999999999996),red
(0.5497850000000001,0.16350999999999996),green
(0.34867374999999995,0.45543875000000006),orange
(0.014385000000000037,0.5734049999999999),black
(-0.32539875,0.47234625),purple
(-0.5408949999999999,0.19086999999999996),cyan
(-0.5497850000000001,-0.16350999999999996),magenta
(-0.34867374999999995,-0.45543875000000006),yellow
(-0.014385000000000037,-0.5734049999999999),brown
