1, [1], [(1+0j)], -1j, blue
1, [1], [(0.90097+0.43388j)], (0.43388-0.90097j), red
6, [0, 1, 1], [0, (-0.62349+0.78183j), (-0.90097+0.43388j)], (0.18961-1.6828j), purple
6, [0, 1, 1], [0, (-0.90097+0.43388j), (-1+0j)], (0.90097-1.43388j), cyan
6, [0, 1, 1], [0, (-1+0j), (-0.90097-0.43388j)], (1.43388-0.90097j), magenta
6, [0, 1, 1], [0, (-0.90097-0.43388j), (-0.62349-0.78183j)], (1.6828-0.18961j), yellow
6, [0, 1, 1], [0, (-0.62349-0.78183j), (-0.22252-0.97493j)], (1.59842+0.55931j), brown
6, [0, 1, 1], [0, (-0.22252-0.97493j), (0.22252-0.97493j)], (1.19745+1.19745j), lime
6, [0, 1, 1], [0, (0.22252-0.97493j), (0.62349-0.78183j)], (0.55931+1.59842j), teal
6, [0, 1, 1], [0, (0.62349-0.78183j), (0.90097-0.43388j)], (-0.18961+1.6828j), pink
6, [0, 1, 1], [0, (0.90097-0.43388j), (1+0j)], (-0.90097+1.43388j), lavender
7, [1, 1, 1], [(1+0j), (0.90097+0.43388j), (0.62349+0.78183j)], (-1.6828-0.81039j), blue
7, [1, 1, 1], [(0.90097+0.43388j), (0.62349+0.78183j), (0.22252+0.97493j)], (-1.16454-1.46028j), red
7, [1, 1, 1], [(0.62349+0.78183j), (0.22252+0.97493j), (-0.22252+0.97493j)], (-0.41562-1.82094j), green
7, [1, 1, 1], [(0.22252+0.97493j), (-0.22252+0.97493j), (-0.62349+0.78183j)], (0.4156199999999999-1.8209399999999998j), orange
7, [1, 1, 1], [(-0.22252+0.97493j), (-0.62349+0.78183j), (-0.90097+0.43388j)], (1.16454-1.46028j), black
7, [1, 1, 1], [(-0.62349+0.78183j), (-0.90097+0.43388j), (-1+0j)], (1.6828-0.8103899999999999j), purple
7, [1, 1, 1], [(-0.90097+0.43388j), (-1+0j), (-0.90097-0.43388j)], (1.86776+0j), cyan
7, [1, 1, 1], [(-1+0j), (-0.90097-0.43388j), (-0.62349-0.78183j)], (1.6828+0.81039j), magenta
7, [1, 1, 1], [(-0.90097-0.43388j), (-0.62349-0.78183j), (-0.22252-0.97493j)], (1.16454+1.46028j), yellow
7, [1, 1, 1], [(-0.62349-0.78183j), (-0.22252-0.97493j), (0.22252-0.97493j)], (0.41562+1.82094j), brown
7, [1, 1, 1], [(-0.22252-0.97493j), (0.22252-0.97493j), (0.62349-0.78183j)], (-0.4156199999999999+1.8209399999999998j), lime
7, [1, 1, 1], [(0.22252-0.97493j), (0.62349-0.78183j), (0.90097-0.43388j)], (-1.16454+1.46028j), teal
7, [1, 1, 1], [(0.62349-0.78183j), (0.90097-0.43388j), (1+0j)], (-1.6828+0.8103899999999999j), pink
7, [1, 1, 1], [(0.90097-0.43388j), (1+0j), (0.90097+0.43388j)], (-1.86776+0j), lavender
