1, [1], [(1+0j)], (1e+31+0j), blue
1, [1], [(0.5-0.86603j)], (5e+30-8.660299999999999e+30j), red
1, [1], [(-0.5-0.86603j)], (-5e+30-8.660299999999999e+30j), green
1, [1], [(-1-0j)], (-1e+31+0j), orange
1, [1], [(-0.5+0.86603j)], (-5e+30+8.660299999999999e+30j), black
1, [1], [(0.5+0.86603j)], (5e+30+8.660299999999999e+30j), purple
2, [0, 1], [0, (1+0j)], (9.999999999999998e+61+0j), blue
2, [0, 1], [0, (0.5-0.86603j)], (4.999999999999999e+61-8.660299999999999e+61j), red
2, [0, 1], [0, (-0.5-0.86603j)], (-4.999999999999999e+61-8.660299999999999e+61j), green
2, [0, 1], [0, (-1-0j)], (-9.999999999999998e+61+0j), orange
2, [0, 1], [0, (-0.5+0.86603j)], (-4.999999999999999e+61+8.660299999999999e+61j), black
2, [0, 1], [0, (0.5+0.86603j)], (4.999999999999999e+61+8.660299999999999e+61j), purple
3, [1, 1], [(1+0j), (0.5-0.86603j)], (4.999999999999999e+61-8.660299999999999e+61j), blue
3, [1, 1], [(0.5-0.86603j), (-0.5-0.86603j)], (-4.999999999999999e+61-8.660299999999999e+61j), red
3, [1, 1], [(-0.5-0.86603j), (-1-0j)], (-9.999999999999998e+61-8.660299999999999e+30j), green
3, [1, 1], [(-1-0j), (-0.5+0.86603j)], (-4.999999999999999e+61+8.660299999999999e+61j), orange
3, [1, 1], [(-0.5+0.86603j), (0.5+0.86603j)], (4.999999999999999e+61+8.660299999999999e+61j), black
3, [1, 1], [(0.5+0.86603j), (1+0j)], (9.999999999999998e+61+8.660299999999999e+30j), purple
4, [0, 0, 1], [0, 0, (1+0j)], (9.999999999999997e+92+0j), blue
4, [0, 0, 1], [0, 0, (0.5-0.86603j)], (4.9999999999999985e+92-8.660299999999997e+92j), red
4, [0, 0, 1], [0, 0, (-0.5-0.86603j)], (-4.9999999999999985e+92-8.660299999999997e+92j), green
4, [0, 0, 1], [0, 0, (-1-0j)], (-9.999999999999997e+92+0j), orange
4, [0, 0, 1], [0, 0, (-0.5+0.86603j)], (-4.9999999999999985e+92+8.660299999999997e+92j), black
4, [0, 0, 1], [0, 0, (0.5+0.86603j)], (4.9999999999999985e+92+8.660299999999997e+92j), purple
5, [1, 0, 1], [(1+0j), 0, (0.5-0.86603j)], (4.9999999999999985e+92-8.660299999999997e+92j), blue
5, [1, 0, 1], [(0.5-0.86603j), 0, (-0.5-0.86603j)], (-4.9999999999999985e+92-8.660299999999997e+92j), red
5, [1, 0, 1], [(-0.5-0.86603j), 0, (-1-0j)], (-9.999999999999997e+92-8.660299999999999e+30j), green
5, [1, 0, 1], [(-1-0j), 0, (-0.5+0.86603j)], (-4.9999999999999985e+92+8.660299999999997e+92j), orange
5, [1, 0, 1], [(-0.5+0.86603j), 0, (0.5+0.86603j)], (4.9999999999999985e+92+8.660299999999997e+92j), black
5, [1, 0, 1], [(0.5+0.86603j), 0, (1+0j)], (9.999999999999997e+92+8.660299999999999e+30j), purple
6, [0, 1, 1], [0, (1+0j), (0.5-0.86603j)], (4.9999999999999985e+92-8.660299999999997e+92j), blue
6, [0, 1, 1], [0, (0.5-0.86603j), (-0.5-0.86603j)], (-4.9999999999999985e+92-8.660299999999997e+92j), red
6, [0, 1, 1], [0, (-0.5-0.86603j), (-1-0j)], (-9.999999999999997e+92-8.660299999999999e+61j), green
6, [0, 1, 1], [0, (-1-0j), (-0.5+0.86603j)], (-4.9999999999999985e+92+8.660299999999997e+92j), orange
6, [0, 1, 1], [0, (-0.5+0.86603j), (0.5+0.86603j)], (4.9999999999999985e+92+8.660299999999997e+92j), black
6, [0, 1, 1], [0, (0.5+0.86603j), (1+0j)], (9.999999999999997e+92+8.660299999999999e+61j), purple
7, [1, 1, 1], [(1+0j), (0.5-0.86603j), (-0.5-0.86603j)], (-4.9999999999999985e+92-8.660299999999997e+92j), blue
7, [1, 1, 1], [(0.5-0.86603j), (-0.5-0.86603j), (-1-0j)], (-9.999999999999997e+92-8.660299999999999e+61j), red
7, [1, 1, 1], [(-0.5-0.86603j), (-1-0j), (-0.5+0.86603j)], (-4.9999999999999985e+92+8.660299999999997e+92j), green
7, [1, 1, 1], [(-1-0j), (-0.5+0.86603j), (0.5+0.86603j)], (4.9999999999999985e+92+8.660299999999997e+92j), orange
7, [1, 1, 1], [(-0.5+0.86603j), (0.5+0.86603j), (1+0j)], (9.999999999999997e+92+8.660299999999999e+61j), black
7, [1, 1, 1], [(0.5+0.86603j), (1+0j), (0.5-0.86603j)], (4.9999999999999985e+92-8.660299999999997e+92j), purple
