n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), red
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), green
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), orange
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), black
1, [1], [(-1+0j)], (-1+0j), purple
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), cyan
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), magenta
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), yellow
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), brown
2, [1, 0], [(1+0j), 0], (-0.6+0j), blue
2, [1, 0], [(0.80902+0.58779j), 0], (-0.48541199999999995-0.352674j), red
2, [1, 0], [(0.30902+0.95106j), 0], (-0.185412-0.570636j), green
2, [1, 0], [(-0.30902+0.95106j), 0], (0.185412-0.570636j), orange
2, [1, 0], [(-0.80902+0.58779j), 0], (0.48541199999999995-0.352674j), black
2, [1, 0], [(-1+0j), 0], (0.6+0j), purple
2, [1, 0], [(-0.80902-0.58779j), 0], (0.48541199999999995+0.352674j), cyan
2, [1, 0], [(-0.30902-0.95106j), 0], (0.185412+0.570636j), magenta
2, [1, 0], [(0.30902-0.95106j), 0], (-0.185412+0.570636j), yellow
2, [1, 0], [(0.80902-0.58779j), 0], (-0.48541199999999995+0.352674j), brown
3, [1, 1], [(1+0j), (0.80902+0.58779j)], (0.20901999999999998+0.58779j), blue
3, [1, 1], [(0.80902+0.58779j), (0.30902+0.95106j)], (-0.17639199999999994+0.5983860000000001j), red
3, [1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j)], (-0.494432+0.380424j), green
3, [1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j)], (-0.6236079999999999+0.017154000000000003j), orange
3, [1, 1], [(-0.80902+0.58779j), (-1+0j)], (-0.514588-0.352674j), black
3, [1, 1], [(-1+0j), (-0.80902-0.58779j)], (-0.20901999999999998-0.58779j), purple
3, [1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j)], (0.17639199999999994-0.5983860000000001j), cyan
3, [1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j)], (0.494432-0.380424j), magenta
3, [1, 1], [(0.30902-0.95106j), (0.80902-0.58779j)], (0.6236079999999999-0.017154000000000003j), yellow
3, [1, 1], [(0.80902-0.58779j), (1+0j)], (0.514588+0.352674j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (0.36+0j), blue
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (0.2912472+0.2116044j), red
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (0.1112472+0.3423816j), green
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (-0.1112472+0.3423816j), orange
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (-0.2912472+0.2116044j), black
4, [1, 0, 0], [(-1+0j), 0, 0], (-0.36+0j), purple
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (-0.2912472-0.2116044j), cyan
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (-0.1112472-0.3423816j), magenta
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (0.1112472-0.3423816j), yellow
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (0.2912472-0.2116044j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902+0.58779j)], (1.16902+0.58779j), blue
5, [1, 0, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.6002672+1.1626644j), red
5, [1, 0, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.19777280000000003+1.2934416j), green
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-0.9202672+0.9301716j), orange
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-1+0j)], (-1.2912472+0.2116044j), black
5, [1, 0, 1], [(-1+0j), 0, (-0.80902-0.58779j)], (-1.16902-0.58779j), purple
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.6002672-1.1626644j), cyan
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j)], (0.19777280000000003-1.2934416j), magenta
5, [1, 0, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j)], (0.9202672-0.9301716j), yellow
5, [1, 0, 1], [(0.80902-0.58779j), 0, (1+0j)], (1.2912472-0.2116044j), brown
6, [1, 1, 0], [(1+0j), (0.80902+0.58779j), 0], (-0.12541199999999997-0.352674j), blue
6, [1, 1, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0], (0.10583519999999999-0.3590316j), red
6, [1, 1, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0], (0.2966592-0.22825440000000002j), green
6, [1, 1, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0], (0.37416479999999996-0.01029239999999998j), orange
6, [1, 1, 0], [(-0.80902+0.58779j), (-1+0j), 0], (0.3087528+0.2116044j), black
6, [1, 1, 0], [(-1+0j), (-0.80902-0.58779j), 0], (0.12541199999999997+0.352674j), purple
6, [1, 1, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0], (-0.10583519999999999+0.3590316j), cyan
6, [1, 1, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0], (-0.2966592+0.22825440000000002j), magenta
6, [1, 1, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0], (-0.37416479999999996+0.01029239999999998j), yellow
6, [1, 1, 0], [(0.80902-0.58779j), (1+0j), 0], (-0.3087528-0.2116044j), brown
7, [1, 1, 1], [(1+0j), (0.80902+0.58779j), (0.30902+0.95106j)], (0.18360800000000005+0.5983860000000001j), blue
7, [1, 1, 1], [(0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j)], (-0.20318480000000003+0.5920284j), red
7, [1, 1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j)], (-0.5123608+0.3595356j), green
7, [1, 1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j)], (-0.6258352-0.01029239999999998j), orange
7, [1, 1, 1], [(-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j)], (-0.5002671999999999-0.3761856j), black
7, [1, 1, 1], [(-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.18360800000000005-0.5983860000000001j), purple
7, [1, 1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j)], (0.20318480000000003-0.5920284j), cyan
7, [1, 1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j)], (0.5123608-0.3595356j), magenta
7, [1, 1, 1], [(0.30902-0.95106j), (0.80902-0.58779j), (1+0j)], (0.6258352+0.01029239999999998j), yellow
7, [1, 1, 1], [(0.80902-0.58779j), (1+0j), (0.80902+0.58779j)], (0.5002671999999999+0.3761856j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (-0.216+0j), blue
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (-0.17474831999999998-0.12696264000000002j), red
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (-0.06674832-0.20542896j), green
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (0.06674832-0.20542896j), orange
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (0.17474831999999998-0.12696264000000002j), black
8, [1, 0, 0, 0], [(-1+0j), 0, 0, 0], (0.216+0j), purple
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (0.17474831999999998+0.12696264000000002j), cyan
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (0.06674832+0.20542896j), magenta
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (-0.06674832+0.20542896j), yellow
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (-0.17474831999999998+0.12696264000000002j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902+0.58779j)], (0.59302+0.58779j), blue
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (0.30902+0.95106j)], (0.13427168000000003+0.82409736j), red
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (-0.30902+0.95106j)], (-0.37576832000000004+0.74563104j), green
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (-0.80902+0.58779j)], (-0.74227168+0.38236104000000004j), orange
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-1+0j)], (-0.82525168-0.12696264000000002j), black
9, [1, 0, 0, 1], [(-1+0j), 0, 0, (-0.80902-0.58779j)], (-0.59302-0.58779j), purple
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-0.30902-0.95106j)], (-0.13427168000000003-0.82409736j), cyan
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (0.30902-0.95106j)], (0.37576832000000004-0.74563104j), magenta
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (0.80902-0.58779j)], (0.74227168-0.38236104000000004j), yellow
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (1+0j)], (0.82525168+0.12696264000000002j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902+0.58779j), 0], (-0.7014119999999999-0.352674j), blue
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (0.30902+0.95106j), 0], (-0.36016032-0.69759864j), red
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), 0], (0.11866368-0.77606496j), green
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), 0], (0.5521603199999999-0.55810296j), orange
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-1+0j), 0], (0.7747483199999999-0.12696264000000002j), black
10, [1, 0, 1, 0], [(-1+0j), 0, (-0.80902-0.58779j), 0], (0.7014119999999999+0.352674j), purple
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), 0], (0.36016032+0.69759864j), cyan
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), 0], (-0.11866368+0.77606496j), magenta
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (0.80902-0.58779j), 0], (-0.5521603199999999+0.55810296j), yellow
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (1+0j), 0], (-0.7747483199999999+0.12696264000000002j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902+0.58779j), (0.30902+0.95106j)], (-0.3923919999999999+0.5983860000000001j), blue
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j), (-0.30902+0.95106j)], (-0.6691803199999999+0.25346135999999997j), red
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), (-0.80902+0.58779j)], (-0.69035632-0.18827496j), green
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), (-1+0j)], (-0.4478396800000001-0.55810296j), orange
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-1+0j), (-0.80902-0.58779j)], (-0.03427168000000003-0.71475264j), black
11, [1, 0, 1, 1], [(-1+0j), 0, (-0.80902-0.58779j), (-0.30902-0.95106j)], (0.3923919999999999-0.5983860000000001j), purple
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), (0.30902-0.95106j)], (0.6691803199999999-0.25346135999999997j), cyan
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), (0.80902-0.58779j)], (0.69035632+0.18827496j), magenta
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j), (1+0j)], (0.4478396800000001+0.55810296j), yellow
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (1+0j), (0.80902+0.58779j)], (0.03427168000000003+0.71475264j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902+0.58779j), 0, 0], (0.07524719999999999+0.2116044j), blue
12, [1, 1, 0, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0, 0], (-0.06350111999999998+0.21541896j), red
12, [1, 1, 0, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, 0], (-0.17799552000000002+0.13695264000000001j), green
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, 0], (-0.22449887999999998+0.006175440000000004j), orange
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-1+0j), 0, 0], (-0.18525168-0.12696264000000002j), black
12, [1, 1, 0, 0], [(-1+0j), (-0.80902-0.58779j), 0, 0], (-0.07524719999999999-0.2116044j), purple
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0, 0], (0.06350111999999998-0.21541896j), cyan
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0, 0], (0.17799552000000002-0.13695264000000001j), magenta
12, [1, 1, 0, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0, 0], (0.22449887999999998-0.006175440000000004j), yellow
12, [1, 1, 0, 0], [(0.80902-0.58779j), (1+0j), 0, 0], (0.18525168+0.12696264000000002j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.38426720000000003+1.1626644j), blue
13, [1, 1, 0, 1], [(0.80902+0.58779j), (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.37252112+1.16647896j), red
13, [1, 1, 0, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-0.9870155199999999+0.7247426400000001j), green
13, [1, 1, 0, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, (-1+0j)], (-1.22449888+0.006175440000000004j), orange
13, [1, 1, 0, 1], [(-0.80902+0.58779j), (-1+0j), 0, (-0.80902-0.58779j)], (-0.99427168-0.71475264j), black
13, [1, 1, 0, 1], [(-1+0j), (-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.38426720000000003-1.1626644j), purple
13, [1, 1, 0, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0, (0.30902-0.95106j)], (0.37252112-1.16647896j), cyan
13, [1, 1, 0, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), 0, (0.80902-0.58779j)], (0.9870155199999999-0.7247426400000001j), magenta
13, [1, 1, 0, 1], [(0.30902-0.95106j), (0.80902-0.58779j), 0, (1+0j)], (1.22449888-0.006175440000000004j), yellow
13, [1, 1, 0, 1], [(0.80902-0.58779j), (1+0j), 0, (0.80902+0.58779j)], (0.99427168+0.71475264j), brown
14, [1, 1, 1, 0], [(1+0j), (0.80902+0.58779j), (0.30902+0.95106j), 0], (-0.11016480000000001-0.3590316j), blue
14, [1, 1, 1, 0], [(0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j), 0], (0.12191088000000001-0.35521704000000004j), red
14, [1, 1, 1, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j), 0], (0.30741647999999994-0.21572135999999997j), green
