(0.0,0.5),blue
(-0.433015,0.25),red
(-0.433015,-0.25),green
(0.0,-0.5),orange
(0.433015,-0.25),black
(0.433015,0.25),purple
(0.06698500000000002,0.75),blue
(-0.61603,0.4330149999999999),red
(-0.6830149999999999,-0.316985),green
(-0.06698500000000002,-0.75),orange
(0.61603,-0.4330149999999999),black
(0.6830149999999999,0.316985),purple
(-0.25,0.25),blue
(-0.34150749999999996,-0.09150749999999999),red
(-0.09150749999999999,-0.34150749999999996),green
(0.25,-0.25),orange
(0.34150749999999996,0.09150749999999999),black
(0.09150749999999999,0.34150749999999996),purple
(0.15849250000000004,0.40849250000000004),blue
(-0.2745225,0.34150749999999996),red
(-0.4330149999999999,-0.06698500000000002),green
(-0.15849250000000004,-0.40849250000000004),orange
(0.2745225,-0.34150749999999996),black
(0.4330149999999999,0.06698500000000002),purple
(-0.34150749999999996,0.40849250000000004),blue
(-0.5245225,-0.09150749999999996),red
(-0.18301499999999998,-0.5),green
(0.34150749999999996,-0.40849250000000004),orange
(0.5245225,0.09150749999999996),black
(0.18301499999999998,0.5),purple
(-0.024522499999999975,0.40849250000000004),blue
(-0.36602999999999997,0.18301499999999993),red
(-0.34150749999999996,-0.22547750000000003),green
(0.024522499999999975,-0.40849250000000004),orange
(0.36602999999999997,-0.18301499999999993),black
(0.34150749999999996,0.22547750000000003),purple
(-0.25,0.0),blue
(-0.125,-0.2165075),red
(0.125,-0.2165075),green
(0.25,0.0),orange
(0.125,0.2165075),black
(-0.125,0.2165075),purple
(0.375,0.28349250000000004),blue
(-0.05801499999999998,0.46650749999999996),red
(-0.4330149999999999,0.18301499999999998),green
(-0.375,-0.28349250000000004),orange
(0.05801499999999998,-0.46650749999999996),black
(0.4330149999999999,-0.18301499999999998),purple
(-0.125,0.28349250000000004),blue
(-0.308015,0.03349250000000001),red
(-0.18301499999999998,-0.25),green
(0.125,-0.28349250000000004),orange
(0.308015,-0.03349250000000001),black
(0.18301499999999998,0.25),purple
(0.19198500000000002,0.5334925),blue
(-0.36602999999999997,0.4330149999999999),red
