(-0.20424625000000002,-0.17075374999999998)
(0.04575374999999998,-0.26226125)
(0.25,-0.09150749999999999)
(0.20424625000000002,0.17075374999999998)
(-0.04575374999999998,0.26226125)
(-0.25,0.09150749999999999)
(0.54575375,0.23773875000000005)
(0.06698500000000002,0.5915075)
(-0.4787687499999999,0.35376874999999997)
(-0.54575375,-0.23773875000000005)
(-0.06698500000000002,-0.5915075)
(0.4787687499999999,-0.35376874999999997)
(0.04575374999999998,0.23773875000000005)
(-0.18301499999999998,0.1584925)
(-0.22876874999999997,-0.07924625000000002)
(-0.04575374999999998,-0.23773875000000005)
(0.18301499999999998,-0.1584925)
(0.22876874999999997,0.07924625000000002)
(0.316985,0.6584925)
(-0.41178374999999995,0.60376875)
(-0.72876875,-0.05472375000000003)
(-0.316985,-0.6584925)
(0.41178374999999995,-0.60376875)
(0.72876875,0.05472375000000003)
(-0.20424625000000002,-0.012261249999999987)
(-0.09150749999999996,-0.18301499999999998)
(0.11273875000000001,-0.17075374999999998)
(0.20424625000000002,0.012261249999999987)
(0.09150749999999996,0.18301499999999998)
(-0.11273875000000001,0.17075374999999998)
(0.40849250000000004,0.3169850000000001)
(-0.07027625,0.5122612499999999)
(-0.4787687499999999,0.19527624999999998)
(-0.40849250000000004,-0.3169850000000001)
(0.07027625,-0.5122612499999999)
(0.4787687499999999,-0.19527624999999998)
(-0.09150749999999996,0.3169850000000001)
(-0.32027625,0.07924625000000002)
(-0.22876874999999997,-0.23773875000000005)
(0.09150749999999996,-0.3169850000000001)
(0.32027625,-0.07924625000000002)
(0.22876874999999997,0.23773875000000005)
(0.17972375000000002,0.57924625)
(-0.41178374999999995,0.4452762499999999)
(-0.5915075,-0.13397000000000003)
(-0.17972375000000002,-0.57924625)
(0.41178374999999995,-0.4452762499999999)
(0.5915075,0.13397000000000003)
(0.0,-0.125)
(0.10825375,-0.0625)
(0.10825375,0.0625)
(0.0,0.125)
(-0.10825375,0.0625)
(-0.10825375,-0.0625)
(0.60825375,0.4375)
(-0.07476124999999999,0.7455149999999999)
(-0.6830149999999999,0.308015)
(-0.60825375,-0.4375)
(0.07476124999999999,-0.7455149999999999)
(0.6830149999999999,-0.308015)
(0.10825375,0.4375)
(-0.32476125,0.3125)
(-0.433015,-0.125)
(-0.10825375,-0.4375)
(0.32476125,-0.3125)
(0.433015,0.125)
(0.17523875,0.8125)
(-0.61603,0.5580149999999999)
(-0.79126875,-0.254485)
(-0.17523875,-0.8125)
(0.61603,-0.5580149999999999)
(0.79126875,0.254485)
(-0.14174625000000002,0.1875)
(-0.23325374999999998,-0.02900749999999999)
(-0.09150749999999999,-0.21650749999999996)
(0.14174625000000002,-0.1875)
(0.23325374999999998,0.02900749999999999)
(0.09150749999999999,0.21650749999999996)
(0.26674625,0.47099250000000004)
(-0.2745225,0.46650749999999996)
(-0.54126875,-0.004485000000000017)
(-0.26674625,-0.47099250000000004)
(0.2745225,-0.46650749999999996)
(0.54126875,0.004485000000000017)
(-0.23325374999999998,0.47099250000000004)
(-0.5245225,0.033492500000000036)
(-0.29126874999999997,-0.4375)
(0.23325374999999998,-0.47099250000000004)
(0.5245225,-0.033492500000000036)
(0.29126874999999997,0.4375)
(-0.024522499999999975,0.5334925)
(-0.47428374999999995,0.24551499999999993)
(-0.44976124999999995,-0.2879775)
(0.024522499999999975,-0.5334925)
(0.47428374999999995,-0.24551499999999993)
(0.44976124999999995,0.2879775)
(-0.14174625000000002,-0.0625)
(-0.016746250000000004,-0.1540075)
(0.125,-0.09150749999999999)
(0.14174625000000002,0.0625)
(0.016746250000000004,0.1540075)
(-0.125,0.09150749999999999)
(0.48325375,0.34599250000000004)
(-0.05801499999999998,0.5915075)
(-0.54126875,0.24551499999999998)
(-0.48325375,-0.34599250000000004)
(0.05801499999999998,-0.5915075)
(0.54126875,-0.24551499999999998)
(-0.016746250000000004,0.34599250000000004)
(-0.308015,0.1584925)
(-0.29126874999999997,-0.1875)
(0.016746250000000004,-0.34599250000000004)
(0.308015,-0.1584925)
(0.29126874999999997,0.1875)
(0.19198500000000002,0.6584925)
(-0.47428374999999995,0.4955149999999999)
(-0.66626875,-0.16297750000000003)
(-0.19198500000000002,-0.6584925)
(0.47428374999999995,-0.4955149999999999)
(0.66626875,0.16297750000000003)
(-0.26674625,0.09599250000000001)
(-0.21650749999999996,-0.18301499999999998)
(0.05023875000000001,-0.27900749999999996)
(0.26674625,-0.09599250000000001)
(0.21650749999999996,0.18301499999999998)
(-0.05023875000000001,0.27900749999999996)
(0.28349250000000004,0.3169850000000001)
(-0.13277624999999998,0.40400749999999996)
(-0.4162687499999999,0.08702249999999997)
(-0.28349250000000004,-0.3169850000000001)
(0.13277624999999998,-0.40400749999999996)
(0.4162687499999999,-0.08702249999999997)
(-0.21650749999999996,0.3169850000000001)
(-0.38277625,-0.029007499999999964)
(-0.16626874999999997,-0.34599250000000004)
(0.21650749999999996,-0.3169850000000001)
(0.38277625,0.029007499999999964)
(0.16626874999999997,0.34599250000000004)
(0.11722375000000003,0.47099250000000004)
(-0.34928374999999995,0.3370224999999999)
(-0.46650749999999996,-0.13397000000000003)
(-0.11722375000000003,-0.47099250000000004)
(0.34928374999999995,-0.3370224999999999)
(0.46650749999999996,0.13397000000000003)
(-0.016746250000000004,-0.1875)
(0.1540075,-0.10825374999999998)
(0.17075374999999998,0.07924625)
(0.016746250000000004,0.1875)
(-0.1540075,0.10825374999999998)
(-0.17075374999999998,-0.07924625)
(0.6540075000000001,0.39174625)
(-0.012261250000000001,0.7622612499999999)
(-0.66626875,0.370515)
(-0.6540075000000001,-0.39174625)
(0.012261250000000001,-0.7622612499999999)
(0.66626875,-0.370515)
(0.1540075,0.39174625)
(-0.26226125,0.32924625)
(-0.41626874999999997,-0.0625)
(-0.1540075,-0.39174625)
(0.26226125,-0.32924625)
(0.41626874999999997,0.0625)
(0.23773875,0.82924625)
(-0.59928375,0.6205149999999999)
(-0.8370225,-0.20873125000000003)
(-0.23773875,-0.82924625)
(0.59928375,-0.6205149999999999)
(0.8370225,0.20873125000000003)
(-0.09599250000000002,0.14174625000000002)
(-0.17075374999999998,-0.012261250000000001)
(-0.07476124999999999,-0.15400749999999996)
(0.09599250000000002,-0.14174625000000002)
(0.17075374999999998,0.012261250000000001)
(0.07476124999999999,0.15400749999999996)
(0.32924625,0.48773875000000005)
(-0.25777625,0.5290075)
(-0.5870224999999999,0.041268749999999965)
(-0.32924625,-0.48773875000000005)
(0.25777625,-0.5290075)
(0.5870224999999999,-0.041268749999999965)
(-0.17075374999999998,0.48773875000000005)
(-0.50777625,0.09599250000000004)
(-0.33702249999999995,-0.39174625)
(0.17075374999999998,-0.48773875000000005)
(0.50777625,-0.09599250000000004)
(0.33702249999999995,0.39174625)
(-0.007776249999999971,0.5959925)
(-0.5200374999999999,0.2912687499999999)
(-0.5122612499999999,-0.30472375)
(0.007776249999999971,-0.5959925)
(0.5200374999999999,-0.2912687499999999)
(0.5122612499999999,0.30472375)
(-0.09599250000000002,-0.10825374999999998)
(0.04575374999999998,-0.13726125)
(0.14174625000000002,-0.02900749999999999)
(0.09599250000000002,0.10825374999999998)
(-0.04575374999999998,0.13726125)
(-0.14174625000000002,0.02900749999999999)
(0.54575375,0.36273875000000005)
(-0.04126874999999998,0.6540075)
(-0.5870224999999999,0.29126874999999997)
(-0.54575375,-0.36273875000000005)
(0.04126874999999998,-0.6540075)
(0.5870224999999999,-0.29126874999999997)
(0.04575374999999998,0.36273875000000005)
(-0.29126874999999997,0.2209925)
(-0.33702249999999995,-0.14174625000000002)
(-0.04575374999999998,-0.36273875000000005)
(0.29126874999999997,-0.2209925)
(0.33702249999999995,0.14174625000000002)
(0.20873125000000003,0.7209925)
(-0.5200374999999999,0.54126875)
(-0.72876875,-0.17972375000000002)
(-0.20873125000000003,-0.7209925)
(0.5200374999999999,-0.54126875)
(0.72876875,0.17972375000000002)
(-0.20424625000000002,0.11273875000000001)
(-0.19976124999999995,-0.12051499999999998)
(0.004485000000000017,-0.23325374999999998)
(0.20424625000000002,-0.11273875000000001)
(0.19976124999999995,0.12051499999999998)
(-0.004485000000000017,0.23325374999999998)
(0.30023875000000005,0.3794850000000001)
(-0.17853,0.4497612499999999)
(-0.4787687499999999,0.07027624999999998)
(-0.30023875000000005,-0.3794850000000001)
(0.17853,-0.4497612499999999)
(0.4787687499999999,-0.07027624999999998)
(-0.19976124999999995,0.3794850000000001)
(-0.42852999999999997,0.016746250000000018)
(-0.22876874999999997,-0.36273875000000005)
(0.19976124999999995,-0.3794850000000001)
(0.42852999999999997,-0.016746250000000018)
(0.22876874999999997,0.36273875000000005)
(0.07147000000000002,0.51674625)
(-0.41178374999999995,0.3202762499999999)
(-0.48325375,-0.19647000000000003)
(-0.07147000000000002,-0.51674625)
(0.41178374999999995,-0.3202762499999999)
(0.48325375,0.19647000000000003)
(0.0625,-0.0625)
(0.08537687499999999,0.022876874999999998)
(0.022876874999999998,0.08537687499999999)
(-0.0625,0.0625)
(-0.08537687499999999,-0.022876874999999998)
(-0.022876874999999998,-0.08537687499999999)
(0.585376875,0.522876875)
(-0.160138125,0.768391875)
(-0.7455149999999999,0.24551499999999998)
(-0.585376875,-0.522876875)
(0.160138125,-0.768391875)
(0.7455149999999999,-0.24551499999999998)
