1, [1], [(1+0j)], (1+0j), blue
2, [1, 0], [(0.45399-0.89101j), 0], (-0.258818-1.254202j), lavender
2, [1, 0], [(0.58779-0.80902j), 0], (-0.05942599999999998-1.279252j), maroon
2, [1, 0], [(0.70711-0.70711j), 0], (0.14142199999999994-1.272798j), olive
2, [1, 0], [(0.80902-0.58779j), 0], (0.3387879999999999-1.235006j), navy
2, [1, 0], [(0.89101-0.45399j), 0], (0.5278179999999999-1.166798j), aquamarine
2, [1, 0], [(0.95106-0.30902j), 0], (0.703844-1.069868j), gold
2, [1, 0], [(0.98769-0.15643j), 0], (0.8625459999999999-0.946582j), coral
3, [1, 1], [(1+0j), (0.98769+0.15643j)], (1.98769-0.64357j), blue
3, [1, 1], [(0.98769+0.15643j), (0.95106+0.30902j)], (2.063894-0.3247019999999999j), red
3, [1, 1], [(0.95106+0.30902j), (0.89101+0.45399j)], (2.089286+0.0021619999999999417j), green
3, [1, 1], [(0.89101+0.45399j), (0.80902+0.58779j)], (2.063222+0.32897200000000004j), orange
3, [1, 1], [(0.80902+0.58779j), (0.70711+0.70711j)], (1.9863620000000002+0.647684j), black
3, [1, 1], [(0.70711+0.70711j), (0.58779+0.80902j)], (1.8605880000000001+0.9504419999999999j), purple
3, [1, 1], [(0.58779+0.80902j), (0.45399+0.89101j)], (1.688996+1.229798j), cyan
3, [1, 1], [(0.45399+0.89101j), (0.30902+0.95106j)], (1.475818+1.478878j), magenta
3, [1, 1], [(0.30902+0.95106j), (0.15643+0.98769j)], (1.226298+1.6915339999999999j), yellow
3, [1, 1], [(0.15643+0.98769j), 1j], (0.946582+1.862546j), brown
3, [1, 1], [1j, (-0.15643+0.98769j)], (0.64357+1.98769j), lime
3, [1, 1], [(-0.15643+0.98769j), (-0.30902+0.95106j)], (0.3247019999999999+2.063894j), teal
3, [1, 1], [(-0.30902+0.95106j), (-0.45399+0.89101j)], (-0.0021619999999999417+2.089286j), pink
3, [1, 1], [(-0.45399+0.89101j), (-0.58779+0.80902j)], (-0.32897200000000004+2.063222j), lavender
3, [1, 1], [(-0.58779+0.80902j), (-0.70711+0.70711j)], (-0.647684+1.9863620000000002j), maroon
3, [1, 1], [(-0.70711+0.70711j), (-0.80902+0.58779j)], (-0.9504419999999999+1.8605880000000001j), olive
3, [1, 1], [(-0.80902+0.58779j), (-0.89101+0.45399j)], (-1.229798+1.688996j), navy
3, [1, 1], [(-0.89101+0.45399j), (-0.95106+0.30902j)], (-1.478878+1.475818j), aquamarine
3, [1, 1], [(-0.95106+0.30902j), (-0.98769+0.15643j)], (-1.6915339999999999+1.226298j), gold
3, [1, 1], [(-0.98769+0.15643j), (-1+0j)], (-1.862546+0.946582j), coral
3, [1, 1], [(-1+0j), (-0.98769-0.15643j)], (-1.98769+0.64357j), blue
3, [1, 1], [(-0.98769-0.15643j), (-0.95106-0.30902j)], (-2.063894+0.3247019999999999j), red
3, [1, 1], [(-0.95106-0.30902j), (-0.89101-0.45399j)], (-2.089286-0.0021619999999999417j), green
3, [1, 1], [(-0.89101-0.45399j), (-0.80902-0.58779j)], (-2.063222-0.32897200000000004j), orange
3, [1, 1], [(-0.80902-0.58779j), (-0.70711-0.70711j)], (-1.9863620000000002-0.647684j), black
3, [1, 1], [(-0.70711-0.70711j), (-0.58779-0.80902j)], (-1.8605880000000001-0.9504419999999999j), purple
3, [1, 1], [(-0.58779-0.80902j), (-0.45399-0.89101j)], (-1.688996-1.229798j), cyan
3, [1, 1], [(-0.45399-0.89101j), (-0.30902-0.95106j)], (-1.475818-1.478878j), magenta
3, [1, 1], [(-0.30902-0.95106j), (-0.15643-0.98769j)], (-1.226298-1.6915339999999999j), yellow
3, [1, 1], [(-0.15643-0.98769j), (-0-1j)], (-0.946582-1.862546j), brown
3, [1, 1], [(-0-1j), (0.15643-0.98769j)], (-0.64357-1.98769j), lime
3, [1, 1], [(0.15643-0.98769j), (0.30902-0.95106j)], (-0.3247019999999999-2.063894j), teal
3, [1, 1], [(0.30902-0.95106j), (0.45399-0.89101j)], (0.0021619999999999417-2.089286j), pink
3, [1, 1], [(0.45399-0.89101j), (0.58779-0.80902j)], (0.32897200000000004-2.063222j), lavender
3, [1, 1], [(0.58779-0.80902j), (0.70711-0.70711j)], (0.647684-1.9863620000000002j), maroon
3, [1, 1], [(0.70711-0.70711j), (0.80902-0.58779j)], (0.9504419999999999-1.8605880000000001j), olive
3, [1, 1], [(0.80902-0.58779j), (0.89101-0.45399j)], (1.229798-1.688996j), navy
3, [1, 1], [(0.89101-0.45399j), (0.95106-0.30902j)], (1.478878-1.475818j), aquamarine
3, [1, 1], [(0.95106-0.30902j), (0.98769-0.15643j)], (1.6915339999999999-1.226298j), gold
3, [1, 1], [(0.98769-0.15643j), (1+0j)], (1.862546-0.946582j), coral
