n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (2+0j), blue
1, [1], [(0.80902+0.58779j)], (1.61804+1.17558j), red
13, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), (0.30902-0.95106j)], (0.85412-24.00102j), cyan
13, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), (0.80902-0.58779j)], (14.79844-18.91524j), magenta
13, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j), (1+0j)], (23.0902-6.60444j), yellow
13, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (1+0j), (0.80902+0.58779j)], (22.562359999999998+8.22906j), brown
14, [0, 1, 1, 1], [0, (1+0j), (0.80902+0.58779j), (0.30902+0.95106j)], (15.41648+19.91928j), blue
14, [0, 1, 1, 1], [0, (0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j)], (0.7639199999999997+25.1766j), red
14, [0, 1, 1, 1], [0, (0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j)], (-14.180399999999999+20.81736j), green
14, [0, 1, 1, 1], [0, (-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j)], (-23.70824+8.50656j), orange
14, [0, 1, 1, 1], [0, (-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j)], (-24.1804-7.05348j), black
14, [0, 1, 1, 1], [0, (-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j)], (-15.41648-19.91928j), purple
14, [0, 1, 1, 1], [0, (-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j)], (-0.7639199999999997-25.1766j), cyan
14, [0, 1, 1, 1], [0, (-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j)], (14.180399999999999-20.81736j), magenta
14, [0, 1, 1, 1], [0, (0.30902-0.95106j), (0.80902-0.58779j), (1+0j)], (23.70824-8.50656j), yellow
14, [0, 1, 1, 1], [0, (0.80902-0.58779j), (1+0j), (0.80902+0.58779j)], (24.1804+7.05348j), brown
15, [1, 1, 1, 1], [(1+0j), (0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j)], (2.7639199999999997+25.1766j), blue
15, [1, 1, 1, 1], [(0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j)], (-12.56236+21.99294j), red
15, [1, 1, 1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j)], (-23.0902+10.40868j), green
15, [1, 1, 1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j)], (-24.79844-5.15136j), orange
15, [1, 1, 1, 1], [(-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j)], (-17.03452-18.7437j), black
15, [1, 1, 1, 1], [(-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j)], (-2.7639199999999997-25.1766j), purple
15, [1, 1, 1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j)], (12.56236-21.99294j), cyan
15, [1, 1, 1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j), (1+0j)], (23.0902-10.40868j), magenta
15, [1, 1, 1, 1], [(0.30902-0.95106j), (0.80902-0.58779j), (1+0j), (0.80902+0.58779j)], (24.79844+5.15136j), yellow
15, [1, 1, 1, 1], [(0.80902-0.58779j), (1+0j), (0.80902+0.58779j), (0.30902+0.95106j)], (17.03452+18.7437j), brown
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (1+0j)], (32+0j), blue
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (0.80902+0.58779j)], (25.88864+18.80928j), red
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (0.30902+0.95106j)], (9.88864+30.43392j), green
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (-0.30902+0.95106j)], (-9.88864+30.43392j), orange
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (-0.80902+0.58779j)], (-25.88864+18.80928j), black
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (-1+0j)], (-32+0j), purple
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (-0.80902-0.58779j)], (-25.88864-18.80928j), cyan
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (-0.30902-0.95106j)], (-9.88864-30.43392j), magenta
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (0.30902-0.95106j)], (9.88864-30.43392j), yellow
16, [0, 0, 0, 0, 1], [0, 0, 0, 0, (0.80902-0.58779j)], (25.88864-18.80928j), brown
17, [1, 0, 0, 0, 1], [(1+0j), 0, 0, 0, (0.80902+0.58779j)], (27.88864+18.80928j), blue
17, [1, 0, 0, 0, 1], [(0.80902+0.58779j), 0, 0, 0, (0.30902+0.95106j)], (11.506680000000001+31.6095j), red
17, [1, 0, 0, 0, 1], [(0.30902+0.95106j), 0, 0, 0, (-0.30902+0.95106j)], (-9.2706+32.33604j), green
17, [1, 0, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, 0, (-0.80902+0.58779j)], (-26.50668+20.7114j), orange
17, [1, 0, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, 0, (-1+0j)], (-33.61804+1.17558j), black
17, [1, 0, 0, 0, 1], [(-1+0j), 0, 0, 0, (-0.80902-0.58779j)], (-27.88864-18.80928j), purple
17, [1, 0, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, 0, (-0.30902-0.95106j)], (-11.506680000000001-31.6095j), cyan
17, [1, 0, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, 0, (0.30902-0.95106j)], (9.2706-32.33604j), magenta
17, [1, 0, 0, 0, 1], [(0.30902-0.95106j), 0, 0, 0, (0.80902-0.58779j)], (26.50668-20.7114j), yellow
17, [1, 0, 0, 0, 1], [(0.80902-0.58779j), 0, 0, 0, (1+0j)], (33.61804-1.17558j), brown
18, [0, 1, 0, 0, 1], [0, (1+0j), 0, 0, (0.80902+0.58779j)], (29.88864+18.80928j), blue
18, [0, 1, 0, 0, 1], [0, (0.80902+0.58779j), 0, 0, (0.30902+0.95106j)], (13.12472+32.78508j), red
18, [0, 1, 0, 0, 1], [0, (0.30902+0.95106j), 0, 0, (-0.30902+0.95106j)], (-8.652560000000001+34.23816j), green
18, [0, 1, 0, 0, 1], [0, (-0.30902+0.95106j), 0, 0, (-0.80902+0.58779j)], (-27.12472+22.61352j), orange
18, [0, 1, 0, 0, 1], [0, (-0.80902+0.58779j), 0, 0, (-1+0j)], (-35.23608+2.35116j), black
18, [0, 1, 0, 0, 1], [0, (-1+0j), 0, 0, (-0.80902-0.58779j)], (-29.88864-18.80928j), purple
18, [0, 1, 0, 0, 1], [0, (-0.80902-0.58779j), 0, 0, (-0.30902-0.95106j)], (-13.12472-32.78508j), cyan
18, [0, 1, 0, 0, 1], [0, (-0.30902-0.95106j), 0, 0, (0.30902-0.95106j)], (8.652560000000001-34.23816j), magenta
18, [0, 1, 0, 0, 1], [0, (0.30902-0.95106j), 0, 0, (0.80902-0.58779j)], (27.12472-22.61352j), yellow
18, [0, 1, 0, 0, 1], [0, (0.80902-0.58779j), 0, 0, (1+0j)], (35.23608-2.35116j), brown
19, [1, 1, 0, 0, 1], [(1+0j), (0.80902+0.58779j), 0, 0, (0.30902+0.95106j)], (15.12472+32.78508j), blue
19, [1, 1, 0, 0, 1], [(0.80902+0.58779j), (0.30902+0.95106j), 0, 0, (-0.30902+0.95106j)], (-7.0345200000000006+35.413740000000004j), red
19, [1, 1, 0, 0, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, 0, (-0.80902+0.58779j)], (-26.50668+24.51564j), green
19, [1, 1, 0, 0, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, 0, (-1+0j)], (-35.85412+4.25328j), orange
19, [1, 1, 0, 0, 1], [(-0.80902+0.58779j), (-1+0j), 0, 0, (-0.80902-0.58779j)], (-31.50668-17.6337j), black
19, [1, 1, 0, 0, 1], [(-1+0j), (-0.80902-0.58779j), 0, 0, (-0.30902-0.95106j)], (-15.12472-32.78508j), purple
19, [1, 1, 0, 0, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0, 0, (0.30902-0.95106j)], (7.0345200000000006-35.413740000000004j), cyan
19, [1, 1, 0, 0, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), 0, 0, (0.80902-0.58779j)], (26.50668-24.51564j), magenta
19, [1, 1, 0, 0, 1], [(0.30902-0.95106j), (0.80902-0.58779j), 0, 0, (1+0j)], (35.85412-4.25328j), yellow
19, [1, 1, 0, 0, 1], [(0.80902-0.58779j), (1+0j), 0, 0, (0.80902+0.58779j)], (31.50668+17.6337j), brown
20, [0, 0, 1, 0, 1], [0, 0, (1+0j), 0, (0.80902+0.58779j)], (33.888639999999995+18.80928j), blue
20, [0, 0, 1, 0, 1], [0, 0, (0.80902+0.58779j), 0, (0.30902+0.95106j)], (16.3608+35.13624j), red
20, [0, 0, 1, 0, 1], [0, 0, (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-7.41648+38.0424j), green
20, [0, 0, 1, 0, 1], [0, 0, (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-28.360799999999998+26.41776j), orange
20, [0, 0, 1, 0, 1], [0, 0, (-0.80902+0.58779j), 0, (-1+0j)], (-38.47216+4.70232j), black
20, [0, 0, 1, 0, 1], [0, 0, (-1+0j), 0, (-0.80902-0.58779j)], (-33.888639999999995-18.80928j), purple
20, [0, 0, 1, 0, 1], [0, 0, (-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-16.3608-35.13624j), cyan
20, [0, 0, 1, 0, 1], [0, 0, (-0.30902-0.95106j), 0, (0.30902-0.95106j)], (7.41648-38.0424j), magenta
20, [0, 0, 1, 0, 1], [0, 0, (0.30902-0.95106j), 0, (0.80902-0.58779j)], (28.360799999999998-26.41776j), yellow
20, [0, 0, 1, 0, 1], [0, 0, (0.80902-0.58779j), 0, (1+0j)], (38.47216-4.70232j), brown
21, [1, 0, 1, 0, 1], [(1+0j), 0, (0.80902+0.58779j), 0, (0.30902+0.95106j)], (18.360799999999998+35.13624j), blue
21, [1, 0, 1, 0, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-5.79844+39.21798j), red
21, [1, 0, 1, 0, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-27.742759999999997+28.31988j), green
21, [1, 0, 1, 0, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), 0, (-1+0j)], (-39.090199999999996+6.60444j), orange
21, [1, 0, 1, 0, 1], [(-0.80902+0.58779j), 0, (-1+0j), 0, (-0.80902-0.58779j)], (-35.50668-17.6337j), black
21, [1, 0, 1, 0, 1], [(-1+0j), 0, (-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-18.360799999999998-35.13624j), purple
21, [1, 0, 1, 0, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), 0, (0.30902-0.95106j)], (5.79844-39.21798j), cyan
21, [1, 0, 1, 0, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), 0, (0.80902-0.58779j)], (27.742759999999997-28.31988j), magenta
21, [1, 0, 1, 0, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j), 0, (1+0j)], (39.090199999999996-6.60444j), yellow
21, [1, 0, 1, 0, 1], [(0.80902-0.58779j), 0, (1+0j), 0, (0.80902+0.58779j)], (35.50668+17.6337j), brown
22, [0, 1, 1, 0, 1], [0, (1+0j), (0.80902+0.58779j), 0, (0.30902+0.95106j)], (20.360799999999998+35.13624j), blue
22, [0, 1, 1, 0, 1], [0, (0.80902+0.58779j), (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-4.180400000000001+40.39356j), red
22, [0, 1, 1, 0, 1], [0, (0.30902+0.95106j), (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-27.12472+30.222j), green
22, [0, 1, 1, 0, 1], [0, (-0.30902+0.95106j), (-0.80902+0.58779j), 0, (-1+0j)], (-39.70824+8.50656j), orange
22, [0, 1, 1, 0, 1], [0, (-0.80902+0.58779j), (-1+0j), 0, (-0.80902-0.58779j)], (-37.124719999999996-16.45812j), black
22, [0, 1, 1, 0, 1], [0, (-1+0j), (-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-20.360799999999998-35.13624j), purple
22, [0, 1, 1, 0, 1], [0, (-0.80902-0.58779j), (-0.30902-0.95106j), 0, (0.30902-0.95106j)], (4.180400000000001-40.39356j), cyan
22, [0, 1, 1, 0, 1], [0, (-0.30902-0.95106j), (0.30902-0.95106j), 0, (0.80902-0.58779j)], (27.12472-30.222j), magenta
22, [0, 1, 1, 0, 1], [0, (0.30902-0.95106j), (0.80902-0.58779j), 0, (1+0j)], (39.70824-8.50656j), yellow
22, [0, 1, 1, 0, 1], [0, (0.80902-0.58779j), (1+0j), 0, (0.80902+0.58779j)], (37.124719999999996+16.45812j), brown
