1, [1], [(1+0j)], 3.3333333333333335j, blue
57, [1, 0, 0, 1, 1, 1], [(1+0j), 0, 0, (-1+0j), (1+0j), (-1+0j)], (1248.2853223593966+414.8559670781893j), blue
57, [1, 0, 0, 1, 1, 1], [(-1+0j), 0, 0, (1+0j), (-1+0j), (1+0j)], (-1248.2853223593966-414.8559670781893j), red
58, [0, 1, 0, 1, 1, 1], [0, (1+0j), 0, (-1+0j), (1+0j), (-1+0j)], (1237.1742112482855+411.52263374485597j), blue
58, [0, 1, 0, 1, 1, 1], [0, (-1+0j), 0, (1+0j), (-1+0j), (1+0j)], (-1237.1742112482855-411.52263374485597j), red
59, [1, 1, 0, 1, 1, 1], [(1+0j), (-1+0j), 0, (1+0j), (-1+0j), (1+0j)], (-1237.1742112482855-408.18930041152265j), blue
59, [1, 1, 0, 1, 1, 1], [(-1+0j), (1+0j), 0, (-1+0j), (1+0j), (-1+0j)], (1237.1742112482855+408.18930041152265j), red
60, [0, 0, 1, 1, 1, 1], [0, 0, (1+0j), (-1+0j), (1+0j), (-1+0j)], (1248.2853223593966+374.4855967078189j), blue
60, [0, 0, 1, 1, 1, 1], [0, 0, (-1+0j), (1+0j), (-1+0j), (1+0j)], (-1248.2853223593966-374.4855967078189j), red
61, [1, 0, 1, 1, 1, 1], [(1+0j), 0, (-1+0j), (1+0j), (-1+0j), (1+0j)], (-1248.2853223593966-371.1522633744856j), blue
61, [1, 0, 1, 1, 1, 1], [(-1+0j), 0, (1+0j), (-1+0j), (1+0j), (-1+0j)], (1248.2853223593966+371.1522633744856j), red
62, [0, 1, 1, 1, 1, 1], [0, (1+0j), (-1+0j), (1+0j), (-1+0j), (1+0j)], (-1259.3964334705076-374.4855967078189j), blue
62, [0, 1, 1, 1, 1, 1], [0, (-1+0j), (1+0j), (-1+0j), (1+0j), (-1+0j)], (1259.3964334705076+374.4855967078189j), red
