1, [1], [(1+0j)], (0.6711409395973155-0.4697986577181208j), blue
28, [0, 0, 1, 1, 1], [0, 0, (-1+0j), (-0-1j), (1+0j)], (-0.5152212083179629+0.8436159610801048j), green
28, [0, 0, 1, 1, 1], [0, 0, (-0-1j), (1+0j), 1j], (-0.8436159610801048-0.5152212083179629j), orange
29, [1, 0, 1, 1, 1], [(1+0j), 0, 1j, (-1+0j), (-0-1j)], (1.5147569006774202+0.045422550599842126j), blue
29, [1, 0, 1, 1, 1], [1j, 0, (-1+0j), (-0-1j), (1+0j)], (-0.045422550599842126+1.5147569006774202j), red
29, [1, 0, 1, 1, 1], [(-1+0j), 0, (-0-1j), (1+0j), 1j], (-1.5147569006774202-0.045422550599842126j), green
29, [1, 0, 1, 1, 1], [(-0-1j), 0, (1+0j), 1j, (-1+0j)], (0.045422550599842126-1.5147569006774202j), orange
30, [0, 1, 1, 1, 1], [0, (1+0j), 1j, (-1+0j), (-0-1j)], (1.0733353430899242-0.1153810168070315j), blue
30, [0, 1, 1, 1, 1], [0, 1j, (-1+0j), (-0-1j), (1+0j)], (0.1153810168070315+1.0733353430899242j), red
30, [0, 1, 1, 1, 1], [0, (-1+0j), (-0-1j), (1+0j), 1j], (-1.0733353430899242+0.1153810168070315j), green
30, [0, 1, 1, 1, 1], [0, (-0-1j), (1+0j), 1j, (-1+0j)], (-0.1153810168070315-1.0733353430899242j), orange
31, [1, 1, 1, 1, 1], [(1+0j), 1j, (-1+0j), (-0-1j), (1+0j)], (0.786521956404347+0.6035366853718035j), blue
31, [1, 1, 1, 1, 1], [1j, (-1+0j), (-0-1j), (1+0j), 1j], (-0.6035366853718035+0.786521956404347j), red
31, [1, 1, 1, 1, 1], [(-1+0j), (-0-1j), (1+0j), 1j, (-1+0j)], (-0.786521956404347-0.6035366853718035j), green
31, [1, 1, 1, 1, 1], [(-0-1j), (1+0j), 1j, (-1+0j), (-0-1j)], (0.6035366853718035-0.786521956404347j), orange
